"Gene","GSM6845651","GSM6845652","GSM6845653","GSM6845654"
"Actc1",4,3,2,4
"Actg1",274,263,246,246
"Actg2",0,0,0,1
"Actl10",19,10,5,26
"Actl11",0,2,0,1
"Actl6a",84,80,72,110
"Actl6b",238,218,169,290
"Actl7a",2,4,4,5
"Actl7b",0,0,1,0
"Actl9",0,1,0,4
"Actn1",143,141,107,154
"Actn2",6,6,6,8
"Actn3",16,9,11,17
"Actn4",664,537,423,586
"Actr10",682,668,692,810
"Actr1a",965,950,900,1052
"Actr1b",1833,1528,1346,1783
"Actr2",1890,2072,1965,2232
"Actr3",529,575,573,612
"Actr3b",147,162,198,204
"Actr5",87,87,69,87
"Actr6",80,97,82,107
"Actr8",378,358,321,491
"Actrt3",36,28,21,31
"Acvr1",159,174,190,194
"Acvr1b",916,716,713,799
"Acvr1c",273,283,274,381
"Acvr2a",359,510,543,628
"Acvr2b",108,97,62,93
"Acvrl1",80,60,48,69
"Acy1",48,69,39,75
"Acy3",10,15,12,7
"Acyp1",273,166,154,222
"Acyp2",39,58,45,60
"Ada",23,20,8,21
"Adad2",1,2,0,3
"Adal",180,199,207,264
"Adam10",944,1034,991,1085
"Adam11",1613,1422,1515,2049
"Adam12",38,55,58,31
"Adam15",214,180,188,250
"Adam17",235,238,200,285
"Adam19",142,142,120,120
"Adam1a",120,122,101,142
"Adam1b",1,3,1,5
"Adam2",1,0,0,0
"Adam21",18,24,26,41
"Adam22",3028,3200,3158,3630
"Adam23",1787,1688,1560,2017
"Adam25",1,0,1,0
"Adam3",0,0,1,0
"Adam32",2,3,3,2
"Adam33",5,9,3,4
"Adam34",0,0,0,0
"Adam4",31,32,42,44
"Adam5",4,0,1,2
"Adam6b",0,0,0,0
"Adam7",0,1,1,0
"Adam8",14,13,9,8
"Adam9",284,302,312,294
"Adamts1",501,379,376,344
"Adamts10",813,581,652,1221
"Adamts12",13,22,12,6
"Adamts13",0,2,4,1
"Adamts14",3,6,4,2
"Adamts15",269,331,376,278
"Adamts16",67,103,100,100
"Adamts17",12,20,14,11
"Adamts18",144,130,103,150
"Adamts19",3,0,2,0
"Adamts2",116,137,205,123
"Adamts20",47,81,95,57
"Adamts3",113,78,80,117
"Adamts4",605,568,558,480
"Adamts5",68,85,72,65
"Adamts6",70,85,83,112
"Adamts7",13,8,6,9
"Adamts8",44,50,51,46
"Adamts9",40,63,56,38
